feature_removed,accuracy,precision_macro,recall_macro,f1_macro
total_in_degree,0.8270750988142292,0.822567783094099,0.8214608243326229,0.8219926967754645
total_out_degree,0.8293807641633728,0.8246630837751743,0.8246630837751743,0.8246630837751743
total_unique_in,0.827733860342556,0.8233321388577828,0.821915709734949,0.8225891890363884
total_unique_out,0.825098814229249,0.8205298600035442,0.8194298948010612,0.8199583275957556
avg_in_transaction,0.8267457180500659,0.8220214568040655,0.8217330866248975,0.8218757403551384
avg_out_transaction,0.8241106719367589,0.8194156826057786,0.8186920439205235,0.8190443109409378
total_received,0.8326745718050066,0.8282776653103497,0.8273816930031936,0.8278157584136822
total_sent,0.8280632411067194,0.8234121481767285,0.8229759940918413,0.8231906177202988
net_balance,0.8290513833992095,0.8246482757632632,0.8233807083100874,0.8239866506867517
avg_in_time_interval,0.8260869565217391,0.8211609340574462,0.8217223834389604,0.8214355573833968
avg_out_time_interval,0.8234519104084321,0.8185702951804892,0.8185702951804892,0.8185702951804892
avg_active_duration,0.8234519104084321,0.818540418978164,0.8186813407345864,0.8186104992821537
in_out_ratio,0.8260869565217391,0.8214512236712775,0.8207229734520851,0.8210775209303655
unique_in_ratio,0.822463768115942,0.817892497200448,0.8164998976507845,0.8171617072478268
unique_out_ratio,0.8247694334650857,0.8198937732774934,0.8200352937556276,0.8199641522725853
volume_ratio,0.8227931488801054,0.8180952265961543,0.8172270453453852,0.8176473976900807
net_balance_ratio,0.8257575757575758,0.8211308145305366,0.8203289624197763,0.820718301581286
activity_index,0.8293807641633728,0.8248835190722845,0.8239968104505908,0.8244263048391482
time_interval_ratio,0.8270750988142292,0.8224132879039909,0.8219050065490119,0.8221544517009138
weighted_avg_tx,0.8290513833992095,0.8243754518435216,0.8241580271887681,0.8242658757045134
wallet_lifetime_sec,0.8148880105401844,0.8099492756247979,0.8091033272191384,0.8095127091111995
